Summary,Work type,Work item ID,Parent,Description
List explicit non-goals,Subtask,10005,1001,"Objective — Prevent scope creep.
Success criteria — real robot, exact paper latency, and large-scale benchmark scope are documented if deferred
Notes — N/A"
Define role responsibilities,Subtask,10006,1002,"Objective — Document ML, ROS, deployment, and QA responsibilities.
Success criteria — roles are clear and non-overlapping
Notes — N/A"
Assign primary and backup owners,Subtask,10007,1002,"Objective — Map owners to epics and critical systems.
Success criteria — every epic has an owner and reviewer
Notes — N/A"
Create communication cadence,Subtask,10008,1002,"Objective — Define a lightweight weekly sync and demo rhythm.
Success criteria — cadence is documented in project README
Notes — N/A"
Inventory available hardware,Subtask,10009,1003,"Objective — List laptops, GPUs, Jetson boards, cameras, and storage.
Success criteria — inventory includes owner and availability
Notes — N/A"
Choose initial ROS 2 distribution,Subtask,10010,1003,"Objective — Pick a ROS 2 version for the team.
Success criteria — chosen version is documented with install link or notes
Notes — N/A"
Create assumptions register,Subtask,10011,1003,"Objective — Track key assumptions and risk owners.
Success criteria — register includes assumption, impact, owner, and status
Notes — N/A"
List ML risks,Subtask,10012,1004,"Objective — Capture risks around fine-tuning and action quality.
Success criteria — dataset, overfitting, invalid outputs, and drift risks are recorded
Notes — N/A"
List robotics risks,Subtask,10013,1004,"Objective — Capture ROS and control risks.
Success criteria — unsafe commands, control jitter, and simulation mismatch risks are recorded
Notes — N/A"
List deployment risks,Subtask,10014,1004,"Objective — Capture export and quantization risks.
Success criteria — GGUF, llama.cpp, CUDA, and Jetson blockers are recorded
Notes — N/A"
Create top-level folders,Subtask,10015,1005,"Objective — Add folders for ros_ws, ml, data, deployment, docs, scripts, and tests.
Success criteria — folders exist with placeholder README files
Notes — N/A"
Add root README,Subtask,10016,1005,"Objective — Explain project purpose and folder layout.
Success criteria — README includes setup summary and architecture link
Notes — N/A"
Add contribution guidelines,Subtask,10017,1005,"Objective — Document branch, commit, and review rules.
Success criteria — guidelines include PR checklist and code style basics
Notes — N/A"
Create requirements file,Subtask,10018,1006,"Objective — Define starter dependencies for ML and utilities.
Success criteria — requirements file installs without conflict
Notes — N/A"
Add environment setup script,Subtask,10019,1006,"Objective — Automate local Python setup where practical.
Success criteria — script creates environment or gives clear commands
Notes — N/A"
Add Python smoke test,Subtask,10020,1006,"Objective — Verify imports and basic runtime.
Success criteria — smoke test passes locally
Notes — N/A"
Create ROS workspace skeleton,Subtask,10021,1007,"Objective — Add ros_ws source layout.
Success criteria — ros_ws/src exists and is documented
Notes — N/A"
Create control bridge package,Subtask,10022,1007,"Objective — Create package for camera, parser, and command nodes.
Success criteria — package builds with colcon
Notes — N/A"
Document ROS environment sourcing,Subtask,10023,1007,"Objective — Add commands for setup.bash and local shell usage.
Success criteria — README includes source commands
Notes — N/A"
Define config schema,Subtask,10024,1008,"Objective — List configuration keys for runtime, model, ROS, and benchmark settings.
Success criteria — schema includes defaults and comments
Notes — N/A"
Implement config loader,Subtask,10025,1008,"Objective — Load config from file with validation.
Success criteria — missing required keys fail with clear error
Notes — N/A"
Add example config file,Subtask,10026,1008,"Objective — Provide safe example settings for local development.
Success criteria — example config runs the dummy pipeline
Notes — N/A"
Add Python test command,Subtask,10027,1009,"Objective — Configure pytest or equivalent test runner.
Success criteria — test command runs locally
Notes — N/A"
Add lint or format check,Subtask,10028,1009,"Objective — Add basic code quality check.
Success criteria — check catches syntax or formatting issues
Notes — N/A"
Add CI workflow file,Subtask,10029,1009,"Objective — Run tests and checks automatically.
Success criteria — workflow passes on main branch
Notes — N/A"
Define run output folder format,Subtask,10030,1010,"Objective — Create naming scheme for experiments.
Success criteria — format includes date, run type, and short description
Notes — N/A"
Implement metrics JSON writer,Subtask,10031,1010,"Objective — Save benchmark and training metrics consistently.
Success criteria — writer creates valid JSON with run metadata
Notes — N/A"
Document experiment naming rules,Subtask,10032,1010,"Objective — Explain how teammates should name runs.
Success criteria — rules appear in docs or README
Notes — N/A"
Compare simulator options,Subtask,10033,1011,"Objective — Evaluate Gazebo, Webots, Isaac Sim, or turtlesim for MVP fit.
Success criteria — choice is documented with tradeoffs
Notes — N/A"
Create simple simulation world,Subtask,10034,1011,"Objective — Set up a world with open space and colored objects.
Success criteria — world launches with at least one target object
Notes — N/A"
Verify robot spawn,Subtask,10035,1011,"Objective — Spawn or load the robot model.
Success criteria — robot appears and can receive commands
Notes — N/A"
Create image subscriber node,Subtask,10036,1012,"Objective — Subscribe to /image_raw or configured camera topic.
Success criteria — node logs incoming frame timestamps
Notes — N/A"
Convert ROS image to array,Subtask,10037,1012,"Objective — Convert image messages to a format usable by ML code.
Success criteria — conversion works on sample frame
Notes — N/A"
Add debug frame save option,Subtask,10038,1012,"Objective — Save sample frames for dataset and debugging.
Success criteria — flag saves images to configured folder
Notes — N/A"
Create /cmd_vel publisher,Subtask,10039,1013,"Objective — Publish geometry_msgs/Twist messages.
Success criteria — messages appear on configured topic
Notes — N/A"
Add command helper function,Subtask,10040,1013,"Objective — Convert linear and angular values into Twist messages.
Success criteria — helper returns correct message fields
Notes — N/A"
Test movement commands in simulation,Subtask,10041,1013,"Objective — Send forward, left, right, and stop commands.
Success criteria — robot response is visible
Notes — N/A"
Implement constant forward action,Subtask,10042,1014,"Objective — Generate a simple MOVE_FORWARD command.
Success criteria — robot moves forward in dummy mode
Notes — N/A"
Implement scripted action sequence,Subtask,10043,1014,"Objective — Run a short sequence such as forward, turn, stop.
Success criteria — sequence executes in order
Notes — N/A"
Add dummy mode configuration,Subtask,10044,1014,"Objective — Allow runtime to choose dummy or model mode.
Success criteria — config toggles dummy mode without code changes
Notes — N/A"
Implement heartbeat timer,Subtask,10045,1015,"Objective — Publish current safe command at a fixed rate.
Success criteria — timer runs at configured frequency
Notes — N/A"
Add command timeout,Subtask,10046,1015,"Objective — Stop if no fresh action arrives in time.
Success criteria — expired command becomes STOP
Notes — N/A"
Log heartbeat health,Subtask,10047,1015,"Objective — Expose last command time and timeout status.
Success criteria — logs show heartbeat status
Notes — N/A"
Choose teleoperation input method,Subtask,10048,1016,"Objective — Pick keyboard or joystick for MVP.
Success criteria — input method is documented
Notes — N/A"
Wire teleop to /cmd_vel,Subtask,10049,1016,"Objective — Send manual commands to the robot.
Success criteria — manual movement works
Notes — N/A"
Record teleop commands,Subtask,10050,1016,"Objective — Save command timestamps for dataset creation.
Success criteria — recorded commands align with frame timestamps
Notes — N/A"
Choose action names,Subtask,10051,1017,"Objective — Finalize the allowed discrete actions.
Success criteria — action names are uppercase and unambiguous
Notes — N/A"
Map actions to velocities,Subtask,10052,1017,"Objective — Define linear_x and angular_z for each action.
Success criteria — mapping table is documented
Notes — N/A"
Add schema constants,Subtask,10053,1017,"Objective — Represent actions in shared code.
Success criteria — constants are used by parser and controller
Notes — N/A"
Define JSON command fields,Subtask,10054,1018,"Objective — Specify linear_x, angular_z, and stop fields.
Success criteria — fields and types are documented
Notes — N/A"
Define numeric bounds,Subtask,10055,1018,"Objective — Set minimum and maximum values for velocities.
Success criteria — bounds match safety limits
Notes — N/A"
Create example commands,Subtask,10056,1018,"Objective — Write valid and invalid examples for parser tests.
Success criteria — examples are included in docs
Notes — N/A"
Implement parser function,Subtask,10057,1019,"Objective — Parse text into a known action enum or value.
Success criteria — parser handles exact valid actions
Notes — N/A"
Add normalization rules,Subtask,10058,1019,"Objective — Handle whitespace, punctuation, and lowercase.
Success criteria — normalized valid outputs parse correctly
Notes — N/A"
Write parser unit tests,Subtask,10059,1019,"Objective — Cover valid, invalid, and noisy outputs.
Success criteria — tests pass in CI
Notes — N/A"
Implement JSON parsing utility,Subtask,10060,1020,"Objective — Load command JSON from model text.
Success criteria — utility returns structured result or error
Notes — N/A"
Validate required fields,Subtask,10061,1020,"Objective — Check presence and types of required fields.
Success criteria — missing fields are rejected
Notes — N/A"
Test malformed outputs,Subtask,10062,1020,"Objective — Add tests for broken JSON and unsafe values.
Success criteria — malformed output maps to STOP path
Notes — N/A"
Add velocity clamp function,Subtask,10063,1021,"Objective — Clip or reject unsafe velocity commands.
Success criteria — commands never exceed configured limits
Notes — N/A"
Implement invalid-output STOP,Subtask,10064,1021,"Objective — Convert parser failures into STOP.
Success criteria — invalid model text produces zero velocity
Notes — N/A"
Add safety event logging,Subtask,10065,1021,"Objective — Log why commands were modified or stopped.
Success criteria — logs include reason and original output
Notes — N/A"
Define smoothing strategy,Subtask,10066,1022,"Objective — Choose rate limit or moving average for commands.
Success criteria — strategy is documented
Notes — N/A"
Implement command rate limiter,Subtask,10067,1022,"Objective — Limit change in linear and angular commands.
Success criteria — outputs respect max delta per tick
Notes — N/A"
Test STOP bypass,Subtask,10068,1022,"Objective — Ensure emergency and invalid STOP are immediate.
Success criteria — STOP command is not delayed by smoothing
Notes — N/A"
List candidate small VLMs,Subtask,10069,1023,"Objective — Compare models such as SmolVLM, Moondream, PaliGemma, or other accessible options.
Success criteria — table includes size, hardware, and library support
Notes — N/A"
Run model loading smoke test,Subtask,10070,1023,"Objective — Verify selected model loads locally or in notebook.
Success criteria — model loads without crash
Notes — N/A"
Document model license and constraints,Subtask,10071,1023,"Objective — Record usage constraints and model source.
Success criteria — license notes are in docs
Notes — N/A"
Implement image resize and conversion,Subtask,10072,1024,"Objective — Convert frames into model-ready images.
Success criteria — output dimensions and color mode are correct
Notes — N/A"
Add preprocessing configuration,Subtask,10073,1024,"Objective — Make size and format configurable.
Success criteria — settings are read from config
Notes — N/A"
Test preprocessing on saved frames,Subtask,10074,1024,"Objective — Run pipeline on sample images.
Success criteria — no corrupted images or shape errors
Notes — N/A"
Write action-only prompt template,Subtask,10075,1025,"Objective — Create prompt instructing the model to return one action.
Success criteria — template includes exact allowed actions
Notes — N/A"
Create few-shot prompt examples,Subtask,10076,1025,"Objective — Add optional examples for common scenes.
Success criteria — examples map image context and instruction to actions
Notes — N/A"
Version prompt templates,Subtask,10077,1025,"Objective — Save templates in repo for repeatable testing.
Success criteria — prompt version is logged in benchmark output
Notes — N/A"
Create inference function,Subtask,10078,1026,"Objective — Implement image plus instruction to model text.
Success criteria — function runs on one sample
Notes — N/A"
Add timing instrumentation,Subtask,10079,1026,"Objective — Measure preprocessing, inference, and parsing time.
Success criteria — timing values are returned with output
Notes — N/A"
Add model error handling,Subtask,10080,1026,"Objective — Handle load or inference failures cleanly.
Success criteria — failure returns safe error result
Notes — N/A"
Create baseline test images,Subtask,10081,1027,"Objective — Collect a small set of representative images.
Success criteria — at least 20 test images are available
Notes — N/A"
Run prompt evaluation script,Subtask,10082,1027,"Objective — Run baseline model on test images and instructions.
Success criteria — outputs are saved with timings
Notes — N/A"
Summarize baseline failures,Subtask,10083,1027,"Objective — Review invalid and wrong outputs.
Success criteria — failure categories are documented
Notes — N/A"
Create model-to-action adapter,Subtask,10084,1028,"Objective — Convert wrapper output to parser input and structured action result.
Success criteria — adapter returns action plus parse status
Notes — N/A"
Add fallback path test,Subtask,10085,1028,"Objective — Verify invalid model output uses STOP.
Success criteria — test covers invalid output and exception case
Notes — N/A"
Log raw and parsed output,Subtask,10086,1028,"Objective — Save both raw text and parsed action for debugging.
Success criteria — logs contain raw_output and parsed_action fields
Notes — N/A"
Choose dataset file format,Subtask,10087,1029,"Objective — Select JSONL or CSV for training records.
Success criteria — choice supports image path, instruction, action, and metadata
Notes — N/A"
Define required fields,Subtask,10088,1029,"Objective — Document required and optional dataset fields.
Success criteria — fields include image_path, instruction, action, timestamp, source
Notes — N/A"
Create sample dataset records,Subtask,10089,1029,"Objective — Add example records to docs or fixtures.
Success criteria — sample records pass validation
Notes — N/A"
Implement frame recorder,Subtask,10090,1030,"Objective — Save camera frames at configured interval.
Success criteria — images are written with unique names
Notes — N/A"
Record command labels,Subtask,10091,1030,"Objective — Save current action or teleop command with timestamps.
Success criteria — label records align to frame timestamps
Notes — N/A"
Save episode metadata,Subtask,10092,1030,"Objective — Record scenario, instruction, and object placement metadata.
Success criteria — metadata file exists per episode
Notes — N/A"
Collect starter frames,Subtask,10093,1031,"Objective — Gather first batch of images from simulation or simple scenes.
Success criteria — at least 200 frames are saved
Notes — N/A"
Assign initial action labels,Subtask,10094,1031,"Objective — Label each frame with one discrete action.
Success criteria — each record has a valid action label
Notes — N/A"
Create train validation split,Subtask,10095,1031,"Objective — Split records into train and validation sets.
Success criteria — split files contain no duplicate record IDs
Notes — N/A"
Write labeling guidelines,Subtask,10096,1032,"Objective — Define how to choose actions from images and instructions.
Success criteria — guidelines include examples and edge cases
Notes — N/A"
Create labeling template,Subtask,10097,1032,"Objective — Create CSV or lightweight tool for labels.
Success criteria — template includes image path, instruction, action, notes
Notes — N/A"
Add label review checklist,Subtask,10098,1032,"Objective — Define what reviewers check before training.
Success criteria — checklist covers invalid labels and ambiguous scenes
Notes — N/A"
Implement record schema validation,Subtask,10099,1033,"Objective — Check required fields and data types.
Success criteria — invalid records fail with clear messages
Notes — N/A"
Implement image path validation,Subtask,10100,1033,"Objective — Verify every image path exists.
Success criteria — missing image paths are listed
Notes — N/A"
Implement label distribution report,Subtask,10101,1033,"Objective — Summarize action counts and imbalance.
Success criteria — report shows counts by action
Notes — N/A"
Implement dataset class,Subtask,10102,1034,"Objective — Create code to load dataset records and images.
Success criteria — getitem returns expected fields
Notes — N/A"
Add transform pipeline,Subtask,10103,1034,"Objective — Apply model-specific preprocessing in loader or collator.
Success criteria — transforms match model input expectations
Notes — N/A"
Write loader smoke test,Subtask,10104,1034,"Objective — Load a batch from sample dataset.
Success criteria — test passes with fixture dataset
Notes — N/A"
Define dataset version naming,Subtask,10105,1035,"Objective — Create dataset version convention.
Success criteria — version string appears in dataset metadata
Notes — N/A"
Generate dataset stats file,Subtask,10106,1035,"Objective — Save counts, split sizes, and label distribution.
Success criteria — stats file is produced by validation script
Notes — N/A"
Write dataset card,Subtask,10107,1035,"Objective — Document source, scope, limitations, and usage.
Success criteria — dataset card exists in docs
Notes — N/A"
Define training prompt template,Subtask,10108,1036,"Objective — Create instruction format used during fine-tuning.
Success criteria — template includes image reference, goal, and action target
Notes — N/A"
Write dataset conversion script,Subtask,10109,1036,"Objective — Convert raw dataset records into training format.
Success criteria — script produces valid training file
Notes — N/A"
Inspect formatted samples,Subtask,10110,1036,"Objective — Manually review examples before training.
Success criteria — at least 10 samples are checked
Notes — N/A"
Identify LoRA target modules,Subtask,10111,1037,"Objective — Choose model layers to adapt.
Success criteria — target module names are documented
Notes — N/A"
Create LoRA config file,Subtask,10112,1037,"Objective — Set rank, alpha, dropout, and related settings.
Success criteria — config loads in training script
Notes — N/A"
Log trainable parameters,Subtask,10113,1037,"Objective — Print and save count of trainable parameters.
Success criteria — run output includes trainable parameter summary
Notes — N/A"
Create training entrypoint,Subtask,10114,1038,"Objective — Add command-line script for fine-tuning.
Success criteria — script accepts config path and dataset path
Notes — N/A"
Run one-batch training smoke test,Subtask,10115,1038,"Objective — Verify forward and backward pass work.
Success criteria — one batch completes without error
Notes — N/A"
Save adapter checkpoint,Subtask,10116,1038,"Objective — Persist trained LoRA adapter.
Success criteria — checkpoint folder contains adapter files
Notes — N/A"
Implement validation inference script,Subtask,10117,1039,"Objective — Run model on validation examples.
Success criteria — predictions are saved with labels
Notes — N/A"
Compute exact action accuracy,Subtask,10118,1039,"Objective — Compare predicted action to expected label.
Success criteria — accuracy value is included in metrics file
Notes — N/A"
Compute invalid output rate,Subtask,10119,1039,"Objective — Measure parse failures.
Success criteria — invalid output percentage is reported
Notes — N/A"
Run baseline on validation set,Subtask,10120,1040,"Objective — Collect zero-shot model predictions on same examples.
Success criteria — baseline metrics are saved
Notes — N/A"
Run fine-tuned model on validation set,Subtask,10121,1040,"Objective — Collect adapter model predictions.
Success criteria — fine-tuned metrics are saved
Notes — N/A"
Create comparison report,Subtask,10122,1040,"Objective — Summarize baseline versus fine-tuned results.
Success criteria — report includes accuracy and invalid output rate
Notes — N/A"
Save prediction samples,Subtask,10123,1041,"Objective — Write image, instruction, label, and prediction examples to an output folder.
Success criteria — samples include correct and incorrect outputs
Notes — N/A"
Create failure category list,Subtask,10124,1041,"Objective — Define categories such as wrong direction, invalid text, over-cautious stop, or ambiguity.
Success criteria — categories are documented
Notes — N/A"
Review first failure batch,Subtask,10125,1041,"Objective — Manually inspect failed predictions.
Success criteria — review notes include action items
Notes — N/A"
Add seed configuration,Subtask,10126,1042,"Objective — Set random seeds where supported.
Success criteria — seed appears in config and run metadata
Notes — N/A"
Snapshot training config,Subtask,10127,1042,"Objective — Save the exact config used for each run.
Success criteria — config copy exists in run folder
Notes — N/A"
Record dataset and model versions,Subtask,10128,1042,"Objective — Store dataset version and base model identifier.
Success criteria — metadata includes dataset_version and base_model
Notes — N/A"
Check GGUF support for selected model,Subtask,10129,1043,"Objective — Verify whether the selected VLM can be converted to GGUF.
Success criteria — support status is documented
Notes — N/A"
Identify fallback quantization options,Subtask,10130,1043,"Objective — List alternatives such as bitsandbytes, ONNX, TensorRT, or standard Python quantization.
Success criteria — fallback table includes effort and risk
Notes — N/A"
Create deployment decision record,Subtask,10131,1043,"Objective — Document chosen export path and why.
Success criteria — decision record is approved by team
Notes — N/A"
Load model in reduced precision,Subtask,10132,1044,"Objective — Run selected model with available quantization support.
Success criteria — model loads successfully
Notes — N/A"
Run sample quantized predictions,Subtask,10133,1044,"Objective — Compare outputs on a small image set.
Success criteria — predictions are saved
Notes — N/A"
Record memory and latency,Subtask,10134,1044,"Objective — Measure rough memory and inference time.
Success criteria — metrics are saved in run folder
Notes — N/A"
Prepare merged or adapter model for export,Subtask,10135,1045,"Objective — Create exportable model files from base model plus LoRA adapter.
Success criteria — export input folder is created
Notes — N/A"
Run GGUF conversion command,Subtask,10136,1045,"Objective — Attempt conversion using documented tooling.
Success criteria — command output is saved
Notes — N/A"
Document conversion result,Subtask,10137,1045,"Objective — Record success, failure, or unsupported components.
Success criteria — result notes include next steps
Notes — N/A"
Build or install llama.cpp,Subtask,10138,1046,"Objective — Prepare runtime environment for local inference.
Success criteria — llama.cpp binary or server is available
Notes — N/A"
Run text-only sanity check,Subtask,10139,1046,"Objective — Verify runtime works independently of VLM image path.
Success criteria — sample text inference succeeds
Notes — N/A"
Run multimodal inference if supported,Subtask,10140,1046,"Objective — Attempt image plus instruction inference.
Success criteria — result or blocker is documented
Notes — N/A"
Document edge hardware specs,Subtask,10141,1047,"Objective — Record Jetson or alternative edge hardware details.
Success criteria — specs include RAM, GPU, OS, CUDA, and power mode if available
Notes — N/A"
Install runtime dependencies,Subtask,10142,1047,"Objective — Install CUDA-enabled runtime dependencies where applicable.
Success criteria — basic GPU command succeeds
Notes — N/A"
Run edge smoke test,Subtask,10143,1047,"Objective — Run a small inference or dummy benchmark on hardware.
Success criteria — smoke test result is logged
Notes — N/A"
Generate FP32 reference predictions,Subtask,10144,1048,"Objective — Run full-precision or base inference on comparison set.
Success criteria — reference predictions are saved
Notes — N/A"
Generate quantized predictions,Subtask,10145,1048,"Objective — Run quantized model on the same set.
Success criteria — quantized predictions are saved
Notes — N/A"
Compute action mismatch rate,Subtask,10146,1048,"Objective — Compare action labels across modes.
Success criteria — mismatch report is generated
Notes — N/A"
Define runtime config fields,Subtask,10147,1049,"Objective — Add settings for context length, max tokens, device, and model path.
Success criteria — fields are present in config schema
Notes — N/A"
Create inference launch script,Subtask,10148,1049,"Objective — Start the selected inference runtime from a single command.
Success criteria — script launches runtime with configured model
Notes — N/A"
Log runtime settings at startup,Subtask,10149,1049,"Objective — Record exact runtime settings for benchmarks.
Success criteria — startup log includes model path and token limits
Notes — N/A"
Define inference request response contract,Subtask,10150,1050,"Objective — Specify inputs and outputs for inference calls.
Success criteria — contract includes image, instruction, action, timing, and error fields
Notes — N/A"
Implement local inference endpoint or callable,Subtask,10151,1050,"Objective — Create service or module callable for model inference.
Success criteria — call returns response for sample input
Notes — N/A"
Add health check,Subtask,10152,1050,"Objective — Expose model loaded and ready status.
Success criteria — health check returns ready or error state
Notes — N/A"
Read latest camera frame in client,Subtask,10153,1051,"Objective — Maintain latest frame for inference requests.
Success criteria — client has non-blocking access to latest frame
Notes — N/A"
Send instruction with frame,Subtask,10154,1051,"Objective — Include configured or user-provided goal text in request.
Success criteria — request includes instruction field
Notes — N/A"
Handle service failures safely,Subtask,10155,1051,"Objective — Convert service timeout or error into STOP.
Success criteria — service failure does not crash ROS node
Notes — N/A"
Add default instruction config,Subtask,10156,1052,"Objective — Load starting instruction from config.
Success criteria — runtime uses configured instruction
Notes — N/A"
Implement instruction update method,Subtask,10157,1052,"Objective — Allow instruction updates through CLI, ROS param, or topic.
Success criteria — update changes future inference requests
Notes — N/A"
Log instruction changes,Subtask,10158,1052,"Objective — Record when instruction changes.
Success criteria — logs include timestamp and new instruction
Notes — N/A"
Wire parser into ROS client path,Subtask,10159,1053,"Objective — Parse model output before command generation.
Success criteria — parsed action appears in logs
Notes — N/A"
Apply safety before publish,Subtask,10160,1053,"Objective — Clamp or stop unsafe commands.
Success criteria — published commands respect safety bounds
Notes — N/A"
Publish final command to /cmd_vel,Subtask,10161,1053,"Objective — Send final safe Twist command.
Success criteria — robot responds to model output in simulation
Notes — N/A"
Choose async execution model,Subtask,10162,1054,"Objective — Decide thread, process, or async event loop approach.
Success criteria — decision is documented
Notes — N/A"
Implement inference worker,Subtask,10163,1054,"Objective — Run model calls outside the heartbeat publisher.
Success criteria — worker produces actions without blocking heartbeat
Notes — N/A"
Add stale result handling,Subtask,10164,1054,"Objective — Discard or mark old inference results.
Success criteria — stale outputs do not override newer safe state
Notes — N/A"
Add diagnostics data structure,Subtask,10165,1055,"Objective — Track current runtime status and counters.
Success criteria — status includes model_loaded, last_action, last_latency, and safety_stop_count
Notes — N/A"
Publish or log diagnostics,Subtask,10166,1055,"Objective — Make diagnostics visible through logs or ROS topic.
Success criteria — diagnostic output updates during runtime
Notes — N/A"
Add runtime summary on shutdown,Subtask,10167,1055,"Objective — Print summary metrics after a run.
Success criteria — shutdown output includes counts and average latency
Notes — N/A"
Create demo launch command,Subtask,10168,1056,"Objective — Start simulator, ROS nodes, and inference mode together.
Success criteria — single documented command launches demo components
Notes — N/A"
Record demo run output,Subtask,10169,1056,"Objective — Capture logs and optionally video for review.
Success criteria — demo artifact is saved
Notes — N/A"
Write demo pass fail checklist,Subtask,10170,1056,"Objective — Define what must happen for demo to pass.
Success criteria — checklist is completed after run
Notes — N/A"
Define latency metrics,Subtask,10171,1057,"Objective — Specify mean, p50, p95, min, max, and standard deviation.
Success criteria — definitions are in benchmark plan
Notes — N/A"
Define behavior metrics,Subtask,10172,1057,"Objective — Specify valid action rate, task success, and safety stop rate.
Success criteria — behavior metrics are documented
Notes — N/A"
Define benchmark scenarios,Subtask,10173,1057,"Objective — List offline image tests and simulation episodes.
Success criteria — scenarios include inputs and expected outputs
Notes — N/A"
Implement benchmark runner,Subtask,10174,1058,"Objective — Run repeated inference on a fixed sample set.
Success criteria — runner accepts model path and dataset path
Notes — N/A"
Add warm-up phase,Subtask,10175,1058,"Objective — Exclude warm-up runs from reported metrics.
Success criteria — metrics distinguish warm-up and measured runs
Notes — N/A"
Save latency summary,Subtask,10176,1058,"Objective — Write latency statistics to JSON or CSV.
Success criteria — summary includes mean and p95 latency
Notes — N/A"
Add pipeline timestamps,Subtask,10177,1059,"Objective — Record timestamps at each pipeline stage.
Success criteria — logs include stage timestamps
Notes — N/A"
Implement ROS latency analyzer,Subtask,10178,1059,"Objective — Compute latency from runtime logs.
Success criteria — analyzer outputs summary statistics
Notes — N/A"
Validate timestamp consistency,Subtask,10179,1059,"Objective — Check clock source and ordering.
Success criteria — negative or impossible timings are flagged
Notes — N/A"
Run parser over prediction logs,Subtask,10180,1060,"Objective — Analyze raw outputs from model runs.
Success criteria — each output has parse status
Notes — N/A"
Compute valid action percentage,Subtask,10181,1060,"Objective — Summarize parse success rate.
Success criteria — report includes valid and invalid counts
Notes — N/A"
Save invalid output samples,Subtask,10182,1060,"Objective — Collect raw invalid responses for prompt or training fixes.
Success criteria — invalid samples are stored for review
Notes — N/A"
Define episode success criteria,Subtask,10183,1061,"Objective — Specify what counts as success for the simulated task.
Success criteria — criteria are measurable from logs or state
Notes — N/A"
Create episode runner,Subtask,10184,1061,"Objective — Automate repeated simulation runs where feasible.
Success criteria — runner starts and ends episodes consistently
Notes — N/A"
Summarize episode outcomes,Subtask,10185,1061,"Objective — Report success, failure, timeout, and safety stop counts.
Success criteria — summary table is generated
Notes — N/A"
Categorize failed predictions,Subtask,10186,1062,"Objective — Assign failure categories to benchmark errors.
Success criteria — categories cover major error types
Notes — N/A"
Review representative failed episodes,Subtask,10187,1062,"Objective — Inspect logs and frames from failed runs.
Success criteria — review notes include likely root cause
Notes — N/A"
Create improvement recommendations,Subtask,10188,1062,"Objective — Suggest data, prompt, or code changes.
Success criteria — recommendations are prioritized
Notes — N/A"
Collect final metrics,Subtask,10189,1063,"Objective — Gather best benchmark results from run outputs.
Success criteria — metrics are linked to run IDs
Notes — N/A"
Create comparison table,Subtask,10190,1063,"Objective — Build table for README or final report.
Success criteria — table includes hardware and model configuration
Notes — N/A"
Document interpretation limits,Subtask,10191,1063,"Objective — Explain why results are not direct head-to-head reproduction.
Success criteria — limitations are included near results table
Notes — N/A"
Write demo runbook,Subtask,10192,1064,"Objective — Document step-by-step demo setup and commands.
Success criteria — runbook can be followed by another teammate
Notes — N/A"
Prepare demo scenario assets,Subtask,10193,1064,"Objective — Save world, dataset examples, or instructions needed for demo.
Success criteria — assets are in repo or documented location
Notes — N/A"
Create fallback recording plan,Subtask,10194,1064,"Objective — Prepare video or screenshots in case live demo fails.
Success criteria — fallback artifact is available
Notes — N/A"
Document setup steps,Subtask,10195,1065,"Objective — Write install and environment setup instructions.
Success criteria — steps cover Python and ROS setup
Notes — N/A"
Document run commands,Subtask,10196,1065,"Objective — Add commands for dummy, baseline, trained, and benchmark modes.
Success criteria — commands are copy-pasteable
Notes — N/A"
Add troubleshooting section,Subtask,10197,1065,"Objective — Record common setup and runtime issues.
Success criteria — section includes symptoms and fixes
Notes — N/A"
Update architecture diagram,Subtask,10198,1066,"Objective — Create final diagram matching implemented system.
Success criteria — diagram shows actual components and interfaces
Notes — N/A"
Document ROS topics and nodes,Subtask,10199,1066,"Objective — List nodes, topics, messages, and responsibilities.
Success criteria — docs include /image_raw and /cmd_vel or configured equivalents
Notes — N/A"
Document model interface,Subtask,10200,1066,"Objective — Explain request and response format for inference.
Success criteria — docs include sample request and response
Notes — N/A"
Write implementation summary,Subtask,10201,1067,"Objective — Describe the final prototype in plain language.
Success criteria — summary covers ML, ROS, dataset, and deployment pieces
Notes — N/A"
Add results and analysis section,Subtask,10202,1067,"Objective — Include benchmark results and interpretation.
Success criteria — results cite run IDs and hardware configuration
Notes — N/A"
Add limitations and future work,Subtask,10203,1067,"Objective — Document gaps versus paper and next improvements.
Success criteria — future work includes real robot and stronger benchmark ideas
Notes — N/A"
Create code tour agenda,Subtask,10204,1068,"Objective — Plan walkthrough by system area.
Success criteria — agenda covers repo, ROS, ML, dataset, and benchmarks
Notes — N/A"
Capture open questions,Subtask,10205,1068,"Objective — Record unresolved technical and product questions.
Success criteria — question list includes owners or next steps
Notes — N/A"
Review next backlog items,Subtask,10206,1068,"Objective — Prioritize what to do after MVP.
Success criteria — post-MVP backlog is updated
Notes — N/A"
Write CSV import mapping notes,Subtask,10207,1069,"Objective — Explain Jira CSV column mapping and hierarchy.
Success criteria — notes map Summary, Issue type, Work item ID, Parent, Status, and Description
Notes — N/A"
Define board workflow,Subtask,10208,1069,"Objective — Recommend To Do, In Progress, Done states.
Success criteria — workflow is concise and beginner-friendly
Notes — N/A"
Suggest labels and components,Subtask,10209,1069,"Objective — Provide labels for ML, ROS, dataset, deployment, evaluation, docs, and safety.
Success criteria — label list is included in setup notes
Notes — N/A"
